gene,baseMean,log2FoldChange,padj
TSG101,12.08870768568018,-5.336232920422773,0.00872923086264214
ENO1,541.1344176710887,-1.8130336316527145,9.321538326668765e-4
ZNF638,13.904249367059442,-2.4942633956406732,0.039760266980537536
ACTB,639.2739270941692,-1.8299358143414683,0.0014963002285286074
PLD1,12.415653227631577,3.166691529381108,0.03537630057658155
UBE2T,9.817317498538806,-4.80068730827039,0.01669173984328323
ACER3,34.157599644574184,2.6192882054850424,0.01036964728362533
UBE2K,35.74016377526978,-3.989772699639207,4.7816289195821147e-4
MLLT10,10.676216032634242,-2.914251747305349,0.0424614220281837
VDAC3,26.239477347402662,-2.504489539644695,0.0214279090565288
FDFT1,13.364707672339254,-5.717327307141155,0.0033910397714699302
DDX1,15.755266538625468,-4.220554077491941,0.00828597019484151
PCNP,37.42793894982608,-7.756456792214739,3.827877181799269e-5
KAT6A,33.27147038320625,2.634288665594675,6.893386048657294e-5
GSTP1,69.54730145619384,-1.5429752505851384,0.03326382433264046
EIF3I,93.06521852258805,-1.7642865155663143,0.020345147794187557
WDFY1,11.903702435509027,-5.259196673314432,0.009961790196263361
CPNE3,26.967540450254504,-5.109713410375161,0.0015526546559423825
RRN3,7.670255184454246,-3.935468020221768,0.03620324570105149
ZFAND6,28.828058886479482,-3.0495614463748213,0.01657412133403514
NOX4,13.053491512638537,3.7840246657452292,0.010218693586153871
PSMC5,29.139390314466187,-3.2079386766485705,0.003083489886273905
RTRAF,65.91372862470864,-2.0669049446629773,0.007915856952135968
ESF1,79.827520522037,-2.6890062913015016,2.816376632280947e-4
TMEM230,27.747180069111657,-3.4945796132722116,0.005512999934324825
PXN,7.591396314919378,-4.190018169829542,0.026960953014673692
ERP29,7.591851880884335,-4.078447614818227,0.03108223606289675
MLF2,16.93616877278335,-6.2371360319884825,0.0013545951556497241
GLG1,16.287171515785648,2.4044640666206454,0.011122433175939896
DLD,14.590801975358623,-5.615075057680899,0.008326197582259595
FH,6.403187463348962,-3.438348479046893,0.04855315919627818
CDV3,13.886137608262311,-2.9159211270655385,0.0327826832114765
PITPNM3,20.886740571427314,-2.451114755781596,0.02611458037890728
HNRNPC,201.37717523484756,-1.4672233799791337,0.007217506872802573
MYL6,268.70483593803544,-1.348463874470488,0.022481690690972528
SUCO,10.37283278998791,5.367175186015841,3.786153426068705e-4
DHPS,11.181264437366117,-2.931729237433419,0.04658655841397559
TLL2,13.616796693788139,5.174043834501686,0.006468739066432358
EFHC1,28.97919287835067,6.072978316778851,2.1691006303100017e-8
HSP90AB1,209.1851255804557,-1.3583384003135643,0.018608263292438063
HNRNPH3,25.715566259513853,-3.3160013737544216,0.009617070587700317
SCD,18.06569567977872,-6.3573471268646795,0.0011957206977870896
RAB18,13.372960059607802,-5.594390879909915,0.006067274476021719
MAGEB2,6.425260082042292,4.781067865058716,0.02123937570258346
HNRNPM,34.80506149714331,-2.4680696483081404,0.010004231396471674
SNU13,70.00675707724284,-3.360528604552826,3.6264905139637474e-6
CBY1,9.688518617242208,-4.740839901995263,0.018032926469823605
ARSA,45.39318736805822,2.3779280694033926,0.010135852028732703
TSPO,13.576569208937688,-5.7593601052501695,0.003244292239079064
RPL3,390.9047397533372,-2.1475375676447195,3.943734352423141e-5
EIF3D,38.16992535812067,-2.4020105248768444,0.004420492181870349
RBX1,76.68543259382577,-1.60400256009372,0.027607669741965508
FKBP3,41.84106666410091,-3.588854079025723,0.004336287319359137
AP4S1,23.801246481998547,2.166712142213444,0.03171015065853059
GNPNAT1,12.954928910663773,-5.536034927787552,0.006382665089351724
CDKN3,8.537723891895473,-4.30819227497848,0.0273017857407722
PSMA3,39.55871638175829,-2.613961372672719,0.010661524936686083
VTI1B,26.090674792137488,-2.8317243645252925,0.011317066843848077
