size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
375.5,12755200,57078400,59060100,38018160
376.5,12137100,54698700,57300600,37070880
377.5,11544100,52392800,55585100,36144640
378.5,10975300,50159900,53912500,35239040
379.5,10430000,47999000,52282100,34353840
380.5,9907400,45908900,50692700,33488720
381.5,9406800,43888800,49143600,32643280
382.5,8927400,41937300,47633800,31817120
383.5,8468600,40053500,46162500,31010080
384.5,8029700,38236100,44728900,30221760
385.5,7610000,36484000,43332100,29451680
386.5,7208900,34795900,41971400,28699680
387.5,6825700,33170500,40645800,27965360
388.5,6459800,31606700,39354800,27248320
389.5,6110500,30102900,38097500,26548240
390.5,5777400,28658000,36873200,25864880
391.5,5459800,27270600,35681300,25197680
392.5,5157100,25939200,34520900,24546480
393.5,4868800,24662600,33391500,23910800
394.5,4594300,23439200,32292400,23290400
395.5,4333100,22267600,31223000,22684960
396.5,4084800,21146500,30182600,22094000
397.5,3848700,20074300,29170600,21517280
398.5,3624500,19049600,28186400,20954400
399.5,3411600,18071000,27229600,20405120
400.5,3209500,17137100,26299400,19869120
401.5,3017900,16246200,25395300,19345920
402.5,2836300,15397100,24516800,18835360
403.5,2664200,14588200,23663400,18337040
404.5,2501400,13818200,22834600,17850640
405.5,2347200,13085500,22029800,17375920
406.5,2201500,12388900,21248600,16912560
407.5,2063700,11726900,20490400,16460160
408.5,1933600,11098100,19754800,16018640
409.5,1810700,10501300,19041300,15587520
410.5,1694800,9934900,18349400,15166640
411.5,1585600,9397900,17678800,14755680
412.5,1482600,8888900,17028900,14354400
413.5,1385600,8406600,16399300,13962480
414.5,1294400,7949800,15789600,13579760
415.5,1208500,7517400,15199300,13206000
416.5,1127800,7108100,14628100,12840880
417.5,1052000,6721000,14075400,12484320
418.5,980800,6354900,13540900,12135920
419.5,914000,6008700,13024100,11795520
420.5,851400,5681400,12524700,11463040
421.5,792700,5372200,12042200,11138160
422.5,737700,5079900,11576200,10820720
423.5,686200,4803800,11126300,10510480
424.5,638100,4542900,10692200,10207440
425.5,593100,4296500,10273400,9911200
426.5,551000,4063800,9869500,9621760
427.5,511700,3843900,9480200,9338960
428.5,475000,3636200,9105000,9062640
429.5,440800,3440000,8743500,8792560
430.5,408900,3254600,8395400,8528640
431.5,379100,3079400,8060400,8270880
432.5,351400,2913900,7737900,8018960
433.5,325600,2757500,7427700,7772880
434.5,301700,2609600,7129300,7532480
435.5,279300,2469800,6842500,7297760
436.5,258600,2337500,6566700,7068480
437.5,239300,2212500,6301800,6844560
438.5,221400,2094100,6047300,6626000
439.5,204800,1982100,5802900,6412640
440.5,189400,1876100,5568200,6204400
441.5,175100,1775700,5342800,6001280
442.5,161800,1680700,5126600,5803120
443.5,149500,1590700,4919100,5609840
444.5,138100,1505300,4720000,5421440
445.5,127500,1424500,4529000,5237760
446.5,117800,1347900,4345800,5058800
447.5,108700,1275200,4170100,4884560
448.5,100300,1206300,4001600,4714800
449.5,92600,1141000,3840000,4549600
450.5,85400,1079000,3685100,4388880
451.5,78800,1020200,3536600,4232560
452.5,72600,964400,3394200,4080560
453.5,67000,911500,3257600,3932880
454.5,61700,861300,3126700,3789440
455.5,56900,813700,3001200,3650160
456.5,52400,768400,2880800,3514960
457.5,48300,725500,2765400,3383920
458.5,44500,684800,2654700,3256800
459.5,41000,646200,2548600,3133680
460.5,37700,609600,2446800,3014480
461.5,34700,574800,2349100,2899120
462.5,31900,541800,2255400,2787520
463.5,29400,510600,2165500,2679680
464.5,27000,481000,2079200,2575440
465.5,24800,452900,1996400,2474880
466.5,22800,426200,1917000,2377760
467.5,21000,401000,1840700,2284240
468.5,19300,377100,1767500,2194080
469.5,17700,354500,1697200,2107280
470.5,16200,333100,1629600,2023680
471.5,14900,312800,1564800,1943440
472.5,13700,293700,1502500,1866240
473.5,12500,275500,1442600,1792160
474.5,11500,258400,1385200,1721120
475.5,10500,242200,1329900,1652960
476.5,9600,226900,1276800,1587680
477.5,8800,212500,1225800,1525280
478.5,8100,198900,1176800,1465520
479.5,7400,186000,1129700,1408480
480.5,6700,173900,1084400,1354000
481.5,6200,162500,1040800,1302000
482.5,5600,151800,999000,1252480
483.5,5100,141700,958800,1205360
484.5,4700,132200,920100,1160480
485.5,4300,123200,882900,1117840
486.5,3900,114800,847200,1077360
487.5,3500,106900,812800,1038960
488.5,3200,99500,779800,1002560
489.5,2900,92600,748000,968080
490.5,2700,86100,717500,935520
491.5,2400,80000,688200,904720
492.5,2200,74200,660000,875680
493.5,2000,68900,632900,848320
494.5,1800,63900,606800,822560
495.5,1600,59200,581800,798320
496.5,1500,54800,557700,775600
