size,3d_exotic_amg_1,3d_exotic_amg_2,3d_exotic_amg_3,3d_exotic_dmso_1,3d_exotic_dmso_2,3d_exotic_dmso_3
189.5,11475660,13129645,12702545,19363870,14740785,14896375
190.5,11246555,13044495,12564385,19163610,14371530,14523740
191.5,11018345,12956060,12426720,18960395,14010500,14164675
192.5,10791245,12864300,12289380,18753670,13657595,13818635
193.5,10565475,12769185,12152205,18542970,13312695,13485080
194.5,10341235,12670695,12015040,18327890,12975680,13163465
195.5,10118725,12568815,11877730,18108125,12646430,12853260
196.5,9898140,12463545,11740125,17883430,12324810,12553935
197.5,9679645,12354895,11602090,17653635,12010680,12264960
198.5,9463420,12242880,11463490,17418635,11703900,11985815
199.5,9249615,12127535,11324220,17178405,11404320,11715980
200.5,9038390,12008890,11184170,16932970,11111790,11454950
201.5,8829870,11886995,11043260,16682410,10826160,11202225
202.5,8624200,11761900,10901415,16426870,10547260,10957310
203.5,8421485,11633675,10758585,16166535,10274940,10719730
204.5,8221845,11502390,10614730,15901635,10009030,10489015
205.5,8025370,11368130,10469835,15632450,9749365,10264705
206.5,7832150,11230975,10323900,15359285,9495785,10046375
207.5,7642275,11091030,10176935,15082480,9248125,9833600
208.5,7455800,10948395,10028970,14802405,9006215,9625980
209.5,7272800,10803180,9880050,14519455,8769900,9423140
210.5,7093315,10655505,9730240,14234040,8539020,9224725
211.5,6917400,10505485,9579610,13946580,8313415,9030405
212.5,6745085,10353260,9428240,13657515,8092930,8839875
213.5,6576400,10198955,9276235,13367285,7877425,8652860
214.5,6411360,10042720,9123690,13076340,7666755,8469110
215.5,6249980,9884685,8970725,12785120,7460780,8288405
216.5,6092270,9725015,8817455,12494070,7259365,8110550
217.5,5938230,9563850,8664005,12203630,7062385,7935390
218.5,5787845,9401345,8510500,11914215,6869730,7762780
219.5,5641115,9237665,8357075,11626245,6681275,7592625
220.5,5498010,9072970,8203855,11340115,6496925,7424840
221.5,5358520,8907420,8050975,11056200,6316575,7259370
222.5,5222610,8741175,7898570,10774875,6140135,7096185
223.5,5090250,8574405,7746760,10496465,5967520,6935275
224.5,4961410,8407275,7595680,10221305,5798650,6776650
225.5,4836045,8239945,7445455,9949680,5633455,6620345
226.5,4714115,8072580,7296195,9681870,5471870,6466405
227.5,4595580,7905345,7148030,9418125,5313835,6314875
228.5,4480385,7738400,7001055,9158675,5159290,6165835
229.5,4368490,7571900,6855390,8903715,5008195,6019355
230.5,4259840,7406005,6711125,8653430,4860505,5875520
231.5,4154375,7240870,6568365,8407980,4716170,5734400
232.5,4052050,7076635,6427195,8167495,4575165,5596095
233.5,3952800,6913455,6287700,7932090,4437450,5460675
234.5,3856575,6751465,6149960,7701865,4303000,5328225
