size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,2d_rnaEasy_NA_DMSO
100.5,91942200,106337400,52489400,42956100
101.5,92659300,110027700,53187900,43679000
102.5,93427900,113369900,53981600,44427800
103.5,94249900,116339600,54864700,45205800
104.5,95125900,118924900,55830000,46016100
105.5,96054800,121125700,56869000,46861700
106.5,97034300,122952100,57972400,47745100
107.5,98061300,124422300,59130500,48668300
108.5,99131700,125560900,60333000,49633200
109.5,100241100,126395900,61569700,50641200
110.5,101384800,126957400,62830400,51693200
111.5,102558000,127275200,64105300,52790000
112.5,103755800,127377700,65385500,53931900
113.5,104973600,127290800,66662300,55118700
114.5,106206800,127037400,67928400,56350100
115.5,107451400,126637400,69177100,57625500
116.5,108703600,126107500,70403100,58943800
117.5,109960000,125462000,71602200,60304000
118.5,111217800,124713100,72771100,61704600
119.5,112474800,123871500,73908000,63144000
120.5,113729100,122946900,75011900,64620600
121.5,114979700,121948600,76083200,66132400
122.5,116226200,120885900,77123000,67677600
123.5,117469000,119768000,78133400,69254200
124.5,118709200,118604900,79117500,70860200
125.5,119948800,117406700,80078900,72493500
126.5,121190600,116184100,81021800,74152200
127.5,122438400,114947900,81951100,75834400
128.5,123696600,113709400,82871900,77538000
129.5,124970900,112479600,83789800,79261200
130.5,126267300,111269700,84710400,81002200
131.5,127593100,110090600,85639700,82759100
132.5,128956000,108952700,86583600,84530000
133.5,130364600,107866000,87548000,86313200
134.5,131828000,106839900,88538800,88106700
135.5,133355800,105883500,89561800,89908500
136.5,134958200,105004900,90622700,91716500
137.5,136645500,104211900,91726900,93528600
138.5,138428600,103511400,92879800,95342300
139.5,140318400,102910200,94086300,97155100
140.5,142326000,102414100,95351400,98964200
141.5,144462600,102028700,96679600,100766800
142.5,146739400,101759300,98075300,102559600
143.5,149167300,101610600,99542500,104339500
144.5,151757400,101587100,101085000,106103200
145.5,154520400,101693100,102706300,107847100
146.5,157467000,101932700,104409800,109567800
147.5,160607200,102309800,106198200,111261900
148.5,163951200,102828300,108074500,112926200
149.5,167508600,103491900,110040900,114557600
150.5,171288400,104304300,112099500,116153300
151.5,175299500,105269200,114252300,117710900
152.5,179550100,106390200,116500700,119228300
153.5,184047900,107671000,118846000,120704200
154.5,188800200,109115100,121289200,122137500
155.5,193813600,110726100,123831000,123527900
156.5,199093900,112507700,126471800,124875700
157.5,204646400,114463100,129211700,126181900
158.5,210475600,116596000,132050600,127448200
159.5,216585500,118909700,134988000,128676800
160.5,222978900,121407300,138023400,129870700
161.5,229658100,124091900,141155600,131033500
162.5,236624600,126966500,144383700,132169300
163.5,243878800,130033800,147706100,133282800
164.5,251420600,133296100,151121200,134379300
165.5,259248700,136755700,154627200,135464100
