gene,baseMean,log2FoldChange,padj
UBE2D1,17.65156398463592,-1.5836296818007243,0.015438344519688434
SMC1A,33.25893224949678,-3.490306502790637,1.9237581881446746e-6
HSD17B10,32.253874189710665,-1.3997929924488768,0.01145373867454428
HMMR,9.709570007449258,-3.256040948130626,0.0019002598639026424
LLGL2,10.490772271709941,-1.4702244440406451,0.04166519326540232
FRY,19.283417013326524,1.3590993137079697,0.02152424498665482
MRPS34,28.495145939657178,-1.9582230489380696,0.0017764667229931217
TSG101,31.954933450016128,-1.3860279891339993,0.012638022914893847
BCS1L,7.6252415193324445,-1.6042095272758092,0.04355888590628528
ENO1,648.8603992565481,-2.4751606602751717,1.4058399146016389e-8
MYDGF,12.847018322231733,-1.419960573515806,0.03904520290273477
ACAT1,24.54986450551666,-1.6116749552966811,0.010338676061898254
RASAL2,44.42603545384722,1.203696040934758,0.016260950638671213
SLC25A3,158.39323069525528,-1.1635310650251582,0.01314517288458596
ACTB,914.6127245419012,-2.8345132994392825,5.079710934204364e-10
RAB7A,45.303304288112024,-1.155835445348171,0.020525842874968482
ARHGAP15,14.524200336895683,1.781660881439852,0.01854958173311006
REXO2,44.502251004644634,-1.771171204038156,0.004660187486335676
UNG,14.107044702926093,-1.9185501034614474,0.006513766507914391
SPAG5,9.132986271639657,-1.4605127367636086,0.04805457143667844
TPD52,72.10076733233039,-1.2106009160084623,0.013487265364032686
UBE2T,24.918174794118883,-2.485474547252222,2.082521342202795e-4
SNRPA,12.304110570939017,-2.3338584042253943,0.006119903334200872
CAPZB,56.007755316079916,-1.0459351688616843,0.038178318725266995
UBE2A,35.738318433999694,-2.4800349186544226,1.2513065214540754e-4
PIAS2,32.22155059502334,1.4316973683518641,0.011770158151585646
ACER3,34.93051346790169,1.0230809016754296,0.041263130263455114
UBE2K,60.7578285760753,-1.163199799810082,0.015208153271185649
GNB1,32.32389390784634,-1.09728546219135,0.04447024661176578
VDAC3,52.64343751297844,-1.8300754605525134,0.0015956325838162974
XRCC5,59.72450254003681,-1.4857858293835935,0.001360676293669384
LXN,11.383845755073049,-1.537485912660832,0.035260530493961786
FDFT1,33.764241264661734,-2.71879229044576,1.278333892680874e-5
