size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
230.5,,1407087400,341456800,444614200
231.5,,1395850100,345877100,448630200
232.5,,1383681300,350237300,452469900
233.5,,1370600800,354532600,456133500
234.5,,1356630200,358758500,459621500
235.5,,1341793100,362910500,462934900
236.5,,1326115200,366984400,466074900
237.5,,1309624000,370976200,469043200
238.5,,1292349000,374882000,471841500
239.5,,1274321500,378698200,474471800
240.5,,1255574900,382421400,476936200
241.5,,1236144100,386048400,479236900
242.5,,1216065900,389576300,481376200
243.5,,1195378800,393002300,483356200
244.5,,1174122700,396323700,485179200
245.5,,1152339100,399538400,486847100
246.5,,1130070600,402644000,488362000
247.5,,1107361100,405638700,489725600
248.5,,1084255600,408520600,490939400
249.5,,1060799600,411288400,492004800
250.5,,1037039700,413940400,492922900
251.5,,1013022500,416475700,493694500
252.5,,988795300,418893000,494320200
253.5,,964405100,421191700,494800300
254.5,,939899000,423370900,495134700
255.5,,915323500,425430100,495323100
256.5,,890724600,427368900,495364800
257.5,,866147700,429187100,495259000
258.5,,841636700,430884500,495004400
259.5,,817234800,432461000,494599500
260.5,,792983400,433916900,494042800
261.5,,768922600,435252400,493332100
262.5,,745090600,436467700,492465400
263.5,,721523600,437563300,491440400
264.5,,698255900,438539700,490254500
265.5,,675319600,439397500,488905300
266.5,,652744400,440137500,487389900
267.5,,630557900,440760300,485705800
268.5,,608785200,441266800,483850300
269.5,,587448700,441658000,481820600
270.5,,566568800,441934700,479614200
271.5,,546163200,442097900,477228700
272.5,,526247000,442148700,474661700
273.5,,506833300,442088100,471911200
274.5,,487932500,441917300,468975400
275.5,,469552800,441637300,465852700
276.5,,451700500,441249400,462541800
277.5,,434379300,440754600,459042100
278.5,,417591400,440154100,455352900
279.5,,401336800,439449100,451474300
280.5,,385613900,438640800,447406800
281.5,,370419400,437730100,443151300
282.5,,355748500,436718400,438709300
283.5,,341595000,435606600,434082700
284.5,,327951600,434395900,429274200
285.5,,314809700,433087200,424286800
286.5,,302160000,431681500,419124200
287.5,,289991900,430179800,413790600
288.5,,278294400,428583000,408290800
289.5,,267055900,426891900,402630300
290.5,,256264000,425107400,396814900
291.5,,245906200,423230000,390851100
292.5,,235969500,421260700,384745800
293.5,,226440700,419199800,378506500
294.5,,217306500,417048100,372141200
295.5,,208553500,414806000,365658100
296.5,,200168400,412474000,359066000
297.5,,192137800,410052400,352374000
298.5,,184448600,407541600,345591600
299.5,,177087600,404941800,338728400
300.5,,170042200,402253300,331794300
301.5,,163299700,399476300,324799600
302.5,,156847800,396610900,317754400
303.5,,150674600,393657300,310669000
304.5,,144768500,390615500,303554000
305.5,,139118000,387485700,296419600
306.5,,133712300,384268000,289276300
307.5,,128540800,380962300,282134200
308.5,,123593200,377569000,275003500
309.5,,118859700,374088000,267894100
310.5,,114330900,370519500,260815800
311.5,,109997600,366863900,253777800
312.5,,105851200,363121400,246789500
313.5,,101883200,359292300,239859500
314.5,,98085700,355377200,232996400
315.5,,94451100,351376600,226208300
316.5,,90971900,347291200,219502700
317.5,,87641300,343121900,212886800
318.5,,84452600,338869700,206367600
319.5,,81399300,334535700,199951100
320.5,,78475500,330121300,193643400
321.5,,75675400,325628000,187449600
322.5,,72993400,321057500,181374700
323.5,,70424400,316411900,175423000
324.5,,67963400,311693300,169598400
325.5,,65605500,306904100,163904200
326.5,,63346300,302046900,158343400
327.5,,61181400,297124800,152918400
328.5,,59106800,292140900,147631200
329.5,,57118600,287098700,142483300
330.5,,55213000,282001800,137475800
331.5,,53386400,276854200,132609400
332.5,,51635500,271660100,127884400
333.5,,49957000,266424100,123300700
334.5,,48348000,261150700,118857900
335.5,,46805300,255845100,114555200
336.5,,45326200,250512300,110391500
337.5,,43908100,245157700,106365500
338.5,,42548300,239787000,102475500
339.5,,41244300,234405900,98719600
340.5,,39993900,229020200,95095600
341.5,,38794700,223636100,91601400
342.5,,37644600,218259600,88234400
343.5,,36541500,212897000,84992000
344.5,,35483400,207554500,81871200
345.5,,34468300,202238300,78869300
346.5,,33494500,196954900,75983300
347.5,,32560100,191710300,73209900
348.5,,31663400,186510600,70546100
349.5,,30802800,181362100,67988600
350.5,,29976600,176270400,65534100
351.5,,29183300,171241400,63179500
352.5,,28421500,166280500,60921400
353.5,,27689700,161393000,58756500
354.5,,26986500,156584000,56681500
355.5,,26310600,151858200,54693300
356.5,,25660600,147219900,52788600
357.5,,25035300,142673300,50964200
358.5,,24433600,138222200,49217100
359.5,,23854100,133869800,47544100
